Date,IBM,TXN,CSCO,QCOM,ORCL,NOK,AMAT
10/16/2009,98.82766,18.66325,19.698568,34.393913,19.781986,9.47334,11.244092
10/19/2009,99.981369,19.294928,19.887188,34.475883,20.335262,9.438203,11.378551
10/20/2009,99.786385,19.409784,19.772367,33.861126,20.126654,9.339815,11.319723
10/21/2009,98.20208,18.868341,19.649364,33.9431,19.981531,9.136012,11.025595
10/22/2009,99.680763,19.590261,19.829781,33.6726,20.126654,9.360897,11.118034
10/23/2009,97.78775,19.278517,19.821579,33.361115,19.99967,9.2344,10.882736
10/26/2009,97.584633,19.4426,19.436134,33.344719,19.945251,9.157094,10.865928
10/27/2009,98.023354,19.524632,19.304928,33.607033,19.836407,9.150066,10.605413
10/28/2009,98.713943,19.326742,18.878475,34.123417,19.319414,8.995459,10.395322
10/29/2009,99.827019,19.722517,19.288523,34.648018,19.455465,9.255483,10.714662
10/30/2009,97.990845,19.334997,18.706259,33.877518,19.138006,8.861931,10.252459
11/2/2009,97.950226,19.334997,18.862072,34.270954,19.128937,8.960318,10.336496
11/3/2009,98.437729,19.35149,18.788265,34.607037,18.947538,9.002485,9.991946
11/4/2009,98.54332,19.433933,19.099899,34.098831,18.956602,9.100872,10.033967
11/5/2009,100.01387,19.936892,19.62476,35.943108,19.337547,9.22737,10.420532
11/6/2009,100.781006,19.821463,19.534548,35.9841,19.428247,9.283592,10.420532
11/9/2009,102.829468,20.307928,19.673956,36.680832,19.800127,9.53659,10.960983
11/10/2009,103.572105,20.654228,19.395132,36.352966,19.772923,9.452258,10.977872
11/11/2009,103.800621,20.885088,19.616554,36.607067,19.863619,9.634977,11.188986
11/12/2009,103.041641,20.918076,19.190111,36.762798,19.990606,9.459286,10.82587
11/13/2009,103.670044,20.975788,19.444336,37.516911,20.262707,9.592811,10.741424
11/16/2009,104.633064,21.396296,19.57555,37.303795,20.707148,9.677144,11.020095
11/17/2009,104.975815,21.33033,19.755972,37.697239,20.679932,9.613895,10.927204
11/18/2009,104.584068,21.231392,19.682159,37.287395,20.679932,9.789587,10.859647
11/19/2009,104.08625,20.514051,19.419731,36.959515,20.30806,9.564701,10.538757
11/20/2009,103.6129,20.398619,19.239317,36.96772,20.262707,9.367925,10.369865
11/23/2009,104.624878,20.728428,19.600151,37.477844,20.498531,9.438203,10.471198
11/24/2009,104.404533,20.843864,19.468941,37.486065,20.081305,9.374952,10.428978
11/25/2009,103.874062,20.959301,19.468941,37.387333,20.498531,9.508479,10.496532
11/27/2009,102.584595,20.81913,19.173708,37.017082,20.035954,9.283592,10.378313
11/30/2009,103.115051,20.85211,19.190111,37.025314,20.026884,9.31873,10.395203
12/1/2009,104.412682,21.388046,19.616554,37.074688,20.353405,9.424146,10.884982
12/2/2009,103.816925,21.404545,19.57555,37.074688,20.55295,9.093844,10.977872
12/3/2009,104.094391,21.800304,19.542749,36.720879,20.534805,8.960318,11.036983
12/4/2009,103.849564,22.138361,19.813374,37.15696,20.707148,8.925179,11.248095
12/7/2009,103.678207,21.948717,19.854383,36.934814,20.389685,8.932207,11.188986
12/8/2009,103.482338,21.709612,19.526344,36.687969,19.872692,8.812736,11.248095
12/9/2009,104.77993,21.429276,19.567352,36.836079,19.908974,8.840846,11.39165
12/10/2009,105.555229,21.388046,19.632957,37.486065,20.489454,8.826791,11.239651
12/11/2009,105.832718,21.14069,19.493549,36.943047,20.661802,9.002485,11.298763
12/14/2009,106.036736,21.421034,19.550949,36.753799,21.142509,9.065734,11.450763
12/15/2009,104.861565,20.975788,19.255714,36.926579,21.00646,8.946262,11.425427
12/16/2009,105.041077,21.091215,19.23111,36.770245,20.970169,8.974374,11.476097
12/17/2009,103.971977,20.678955,19.009689,36.457596,20.752489,8.728403,11.273431
12/18/2009,104.388214,20.992277,19.132702,36.671509,22.076738,8.749489,11.501432
12/21/2009,104.992096,21.305601,19.386929,37.362656,22.158365,8.707321,11.68721
12/22/2009,106.036736,21.14069,19.47714,37.716465,22.185574,8.875987,11.771656
12/23/2009,106.09388,20.876841,19.50174,37.806961,22.430464,8.904098,11.780102
12/24/2009,106.559036,21.297348,19.649364,37.930389,22.630011,8.981401,11.822323
12/28/2009,107.979065,21.017019,19.747774,38.062019,22.648153,8.925179,11.704101
12/29/2009,107.603676,20.918076,19.764175,38.382912,22.684437,8.95329,11.602767
12/30/2009,108.191254,21.421034,19.829781,38.555695,22.61187,9.079789,11.872988
12/31/2009,106.828369,21.486984,19.632957,38.062019,22.249071,9.030595,11.771656
1/4/2010,108.093323,21.445765,20.248034,38.621517,22.539314,9.381981,12.075658
1/5/2010,106.787575,21.322088,20.157812,39.551273,22.5121,9.311704,11.982769
1/6/2010,106.09388,21.165426,20.026604,39.164551,22.185574,9.241427,11.957436
1/7/2010,105.726646,21.231392,20.116812,40.299999,22.113016,9.360897,11.830769
1/8/2010,106.787575,21.717855,20.223423,40.703163,22.385113,9.367925,12.28677
1/11/2010,105.669502,21.437525,20.166012,40.555065,22.394182,9.269537,12.556997
1/12/2010,106.510086,20.538794,19.846182,39.896839,22.276276,9.079789,11.99121
1/13/2010,106.28157,20.62949,20.207027,40.069622,22.493961,9.241427,12.050326
1/14/2010,107.979065,20.373884,20.46125,39.798103,23.030184,9.396036,12.117882
1/15/2010,107.546532,20.200737,20.010199,39.929752,22.939301,9.311704,11.59432
1/19/2010,109.472542,20.382137,20.379246,40.579746,23.021091,9.304675,11.796988
1/20/2010,106.297897,20.241966,20.0184,39.781643,22.775705,9.136012,11.653432
1/21/2010,105.277756,19.936892,19.665762,39.56773,22.566671,9.065734,11.467654
1/22/2010,102.421387,19.054661,18.837467,38.48988,21.948652,8.939236,10.665426
1/25/2010,102.927376,19.532875,18.853872,38.596836,21.839592,8.861931,10.673867
1/26/2010,102.625435,19.252542,18.780066,38.580372,21.703262,8.911126,10.682313
1/27/2010,103.09877,19.400953,18.985085,38.835445,21.685093,9.079789,11.011648
1/28/2010,100.99321,19.102606,18.46843,33.306324,21.330633,9.824725,10.648537
1/29/2010,99.883293,18.646797,18.427423,32.244934,20.95801,9.620922,10.285421
2/1/2010,101.744011,19.102606,18.640648,32.722149,21.103426,9.859864,10.572535
2/2/2010,102.445869,19.318081,18.878475,32.302528,21.5942,10.077722,10.564091
2/3/2010,102.551979,19.226913,18.919481,32.60696,21.585115,10.091779,10.369865
2/4/2010,100.381111,18.721382,18.993286,31.405693,21.00345,9.656061,9.96453
2/5/2010,100.805511,19.03631,19.436134,31.29874,21.403349,9.410092,10.327644
2/8/2010,99.911972,19.144043,19.272116,30.862659,21.012545,9.26251,10.192531
2/9/2010,101.002251,19.376087,19.591951,31.191771,21.366995,9.381981,10.260087
2/10/2010,100.674339,19.425816,19.485342,30.796839,21.00345,9.220344,10.327644
2/11/2010,101.428505,19.699306,19.62476,31.274052,21.221577,9.199259,10.530312
2/12/2010,101.649864,19.91478,19.485342,31.95697,21.276106,9.093844,10.530312
2/16/2010,102.658165,20.544634,19.682159,32.105076,21.639645,9.311704,10.935647
2/17/2010,103.559891,20.478321,19.739571,32.442417,21.97592,9.35387,10.969428
2/18/2010,104.773109,20.577772,19.911783,32.755066,22.284927,9.44523,10.707645
2/19/2010,104.264877,20.726948,19.977394,32.574047,22.103159,9.396036,10.555646
2/22/2010,103.986168,20.4949,19.928188,32.096844,22.548492,9.47334,10.564131
2/23/2010,103.666435,20.138538,19.723167,31.710125,22.248573,9.31873,10.190782
2/24/2010,104.592781,20.511475,19.960993,31.296911,22.512136,9.360897,10.411398
2/25/2010,104.166519,20.320866,19.952791,30.726671,22.603024,9.283592,10.36897
2/26/2010,104.240295,20.20484,19.952791,30.313456,22.403078,9.466313,10.385942
3/1/2010,105.396126,20.412025,20.174221,29.387863,22.484875,9.332787,10.606558
3/2/2010,104.4534,20.287718,20.182419,31.3465,22.339457,9.494425,10.538675
3/3/2010,104.010757,20.221415,20.371038,31.974586,22.266747,9.740394,10.513223
3/4/2010,103.879601,20.445181,20.46125,32.437386,22.503044,9.684172,10.40291
3/5/2010,104.314041,20.693804,20.674471,32.032433,22.675732,9.93014,10.428366
3/8/2010,103.625465,20.461754,21.428953,32.057236,22.448517,9.958252,10.487762
3/9/2010,102.920471,20.047379,21.428953,31.966318,22.61211,9.923113,10.428366
3/10/2010,102.977852,20.378876,21.215731,32.131607,22.603024,10.232332,10.632014
3/11/2010,104.600967,19.947929,21.297745,32.313419,22.848412,10.183139,10.53019
3/12/2010,104.879684,19.889919,21.223932,32.189457,22.766613,10.429109,10.487762
3/15/2010,104.789513,19.840195,21.387951,32.123337,22.975649,10.408026,10.377456
3/16/2010,105.478111,20.453461,21.445353,32.239044,22.912027,10.63994,10.564131
3/17/2010,104.732117,20.64407,21.535566,32.148132,23.148331,10.836715,10.742321
3/18/2010,105.240379,20.486612,21.601175,33.412571,23.066536,10.738327,10.716865
3/19/2010,104.691162,20.188265,21.445353,33.098534,22.89386,10.590745,10.598073
3/22/2010,104.912483,20.4949,21.551966,33.288601,23.230125,10.618856,10.844142
3/23/2010,106.051941,21.0916,21.847198,33.486946,23.620926,10.724271,11.234466
3/24/2010,105.363342,20.544634,21.69138,33.214233,23.411896,10.590745,11.030819
3/25/2010,105.945389,20.544634,21.674982,34.867085,23.666372,10.682104,11.166584
3/26/2010,105.961777,20.511475,21.707788,34.569572,23.348276,10.864826,11.209012
3/29/2010,105.412514,20.4949,21.740591,34.511715,23.239218,10.836715,11.293861
3/30/2010,105.560097,20.395452,21.855404,34.817501,23.211948,10.829687,11.412655
3/31/2010,105.133827,20.279425,21.346949,34.677017,23.366453,10.921047,11.429627
4/1/2010,105.133827,20.412025,21.18293,34.933193,23.139242,10.977268,11.327805
4/5/2010,106.035561,21.04187,21.46176,35.148083,23.248308,10.998351,11.472052
4/6/2010,105.691238,20.760096,21.502764,35.065426,23.475513,10.935102,11.438113
4/7/2010,105.322357,20.983858,21.601175,35.346405,23.548222,10.885908,11.522963
4/8/2010,104.6092,20.486612,21.551966,35.040649,23.475513,10.597773,11.319317
4/9/2010,105.551888,20.66894,21.8144,34.850559,23.748173,10.548578,11.429627
4/12/2010,105.223976,21.290497,21.756996,34.900146,23.857445,10.611829,11.56539
4/13/2010,105.773232,21.439676,21.68318,34.958,23.99403,10.625883,11.70964
4/14/2010,107.593063,22.293283,22.044018,35.205929,24.021345,10.871854,12.227241
4/15/2010,107.297981,22.36787,22.314653,35.288574,23.857445,10.724271,12.167842
4/16/2010,107.084846,22.02808,22.126032,35.321636,23.629793,10.499386,12.184814
4/19/2010,108.396416,21.90377,22.199835,35.329884,23.848331,10.646967,12.133902
4/20/2010,106.31427,22.086094,22.290052,35.776165,23.811914,10.661022,12.269662
4/21/2010,105.740448,21.895489,22.339262,35.230717,23.939392,10.506413,12.244212
4/22/2010,105.855202,21.961777,22.404861,32.50349,23.893864,9.128983,12.193296
4/23/2010,106.560211,22.102667,22.527876,31.610958,24.11241,8.967346,12.278152
